id,tournament_id,round,flight_number,holes,start_time,created_at,gender,status,round_number
41c2590e-ea22-44bf-b862-6b8068962a10,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,18,2026-03-30 08:00:00+00,2026-03-29T14:17:14.699959+00:00,Boys,active,1
c460e0de-b986-4ef8-9ad2-fe7c163c4cce,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,1,18,2026-03-30 08:00:00+00,2026-03-30T16:35:23.037246+00:00,Boys,active,1
86bdae5f-1d38-4b81-8429-ada3da337b50,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,1,18,2026-03-30 08:00:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
d6d08c6b-00e4-464d-9a8d-779635d470c8,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,2,18,2026-03-30 08:10:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
1b36fc76-9f3a-46c7-a71e-fd17cfcab717,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,3,18,2026-03-30 08:20:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
27766ec5-cc35-4f14-9dae-0b160a2b5399,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,4,18,2026-03-30 08:30:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
651ef15a-7854-45bf-86bc-2a269f99583b,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,5,18,2026-03-30 08:40:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
1f8b1cc7-d326-4d92-999d-dbb20d593190,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,6,18,2026-03-30 08:50:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
80c38750-5604-4ecd-a445-c4b0109ba467,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,7,18,2026-03-30 09:00:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
aa486c04-a034-4203-b238-fa30502de446,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,8,18,2026-03-30 09:10:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
b1a1cd7c-ed59-4822-9326-4c2943d31bac,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,9,18,2026-03-30 09:20:00+00,2026-03-31T15:14:05.334385+00:00,Girls,active,1
3e073029-7f46-4a01-9563-28f4d7280139,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,10,18,2026-03-30 09:30:00+00,2026-03-31T15:14:05.334385+00:00,Girls,active,1
ebcdc585-c820-4a9b-bdc3-426fa2a1e417,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,11,18,2026-03-30 09:40:00+00,2026-03-31T15:14:05.334385+00:00,Girls,active,1
f846dfc2-7225-4af1-a764-76aec810cb10,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,12,9,2026-03-30 09:50:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
39793579-af6c-4544-b0d1-b35a844c1fde,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,13,9,2026-03-30 10:00:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
a1894410-d734-4bd2-b809-e0040db0ac82,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,14,9,2026-03-30 10:10:00+00,2026-03-31T15:14:05.334385+00:00,Boys,active,1
d4a97bf6-ce0f-421e-924f-6e157b580519,e9b23d74-ab9d-4ba5-86bf-744915e1ee28,1,1,18,10:00,2026-05-24T05:48:05.688176+00:00,Boys,active,1
b885ea91-4c33-454d-9810-259ea9e28f40,36d5df41-5864-4103-b413-169bbd683077,1,1,18,,2026-09-20T12:02:47.201149+00:00,Boys,active,1
6126695b-fff2-43a5-87d7-9669e60cdac9,36d5df41-5864-4103-b413-169bbd683077,1,2,18,,2026-09-20T12:02:47.201149+00:00,Girls,active,1
8e91f459-3a12-4cc7-bbea-73b923bbf590,36d5df41-5864-4103-b413-169bbd683077,1,3,18,,2026-09-20T12:02:47.201149+00:00,Boys,active,1
91d6513f-dd27-45e2-8f9c-1b137730b9e1,36d5df41-5864-4103-b413-169bbd683077,1,4,18,,2026-09-20T12:02:47.201149+00:00,Boys,active,1
e3778593-089a-4b46-9ca2-7e1509ef2529,36d5df41-5864-4103-b413-169bbd683077,1,5,18,,2026-09-20T12:02:47.201149+00:00,Boys,active,1
d3c0c3bf-896b-4ff3-a540-b961bdd8f494,36d5df41-5864-4103-b413-169bbd683077,1,6,18,,2026-09-20T12:02:47.201149+00:00,Boys,active,1
5322fc27-7785-4252-ba7a-76e9721760de,36d5df41-5864-4103-b413-169bbd683077,1,7,18,,2026-09-20T12:02:47.201149+00:00,Boys,active,1
c9c7738a-870f-4fdf-b174-fb861836e18b,36d5df41-5864-4103-b413-169bbd683077,1,8,18,,2026-09-20T12:02:47.201149+00:00,Boys,active,1
f20798fe-d330-489c-a88d-89c3ebe94334,36d5df41-5864-4103-b413-169bbd683077,1,9,18,,2026-09-20T12:02:47.201149+00:00,Boys,active,1
7a0d9dd1-521f-444d-8e71-13449e3516c5,36d5df41-5864-4103-b413-169bbd683077,1,10,18,,2026-09-20T12:02:47.201149+00:00,Boys,active,1
97c71237-5984-424a-b46e-7ce386574224,36d5df41-5864-4103-b413-169bbd683077,1,11,9,,2026-09-20T12:02:47.201149+00:00,Boys,active,1
07ec138a-982a-4e72-9507-b1aa9a8d70d6,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,1,18,,2026-09-21T12:43:08.794844+00:00,Boys,active,1
525c0b36-d125-480a-bc47-94808e8ebc06,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,2,18,,2026-09-21T12:43:08.794844+00:00,Boys,active,1
3bc4e022-14dd-4e5f-82f1-d8a88979504b,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,3,18,,2026-09-21T12:43:08.794844+00:00,Boys,active,1
e914dc24-b557-42c6-9081-6fa81e786008,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,4,18,,2026-09-21T12:43:08.794844+00:00,Boys,active,1
43cf127d-c962-43c2-8718-09900ee897ed,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,5,18,,2026-09-21T12:43:08.794844+00:00,Boys,active,1
a3a9b600-37ac-49fb-ad59-596f5ed68c06,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,6,18,,2026-09-21T12:43:08.794844+00:00,Boys,active,1
3b54341a-fcd6-442f-9846-fd326ac268b9,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,7,18,,2026-09-21T12:43:08.794844+00:00,Boys,active,1
e6159fc6-b211-44ac-8fa0-2206a018bd13,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,8,9,,2026-09-21T12:43:08.794844+00:00,Boys,active,1
2c96d6f6-d039-42bc-b936-938e39a88a1e,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,9,9,,2026-09-21T12:43:08.794844+00:00,Boys,active,1
c9caa182-3db9-4059-9bc2-eac77be8ce8d,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,10,9,,2026-09-21T12:43:08.794844+00:00,Boys,active,1
